职业,公司,工作地点,薪资,发布时间
自动化测试工程师Selenium,山诺信息技术（上海）有限公司,上海-杨浦区,1-1.5万/月,04-08
大数据研发工程师,“前程无忧”51job.com（上海）,上海,面议,04-04
Python爬虫工程师,计易数据科技（上海）有限公司,上海-浦东新区,1-1.5万/月,04-08
Python高级开发工程师,互道信息技术（上海）有限公司,上海-浦东新区,2-4万/月,04-08
Python爬虫工程师,集商网络科技（上海）有限公司,上海,1-1.5万/月,04-08
Python开发工程师,上海迅时通信设备有限公司,上海-徐汇区,1-1.5万/月,04-08
python开发工程师/大数据建模,诺贝尔曼（上海）商业投资管理有限...,上海-黄浦区,6-8千/月,04-08
Python开发工程师,上海伦伟实业有限公司,上海,1.2-1.5万/月,04-08
C/C++/Python开发工程师,上海工业自动化仪表研究院有限公司...,上海-徐汇区,15-20万/年,04-08
Python开发工程师,上海南天电脑系统有限公司,上海-浦东新区,1-1.5万/月,04-08
erlang/python服务器开发工程师,孤岛（上海）软件有限公司,上海-徐汇区,1.5-3.5万/月,04-08
Python开发工程师,上海锐赢信息技术有限公司,上海-浦东新区,1.5-2万/月,04-08
Python开发工程师 (MJ000231),VSPN,上海-静安区,0.6-1万/月,04-08
python开发工程师-A0122,上海合合信息科技发展有限公司,上海-静安区,1-1.5万/月,04-08
高级python后端工程师（AI平台）,上海萃图数字科技有限公司,上海-杨浦区,1.5-2万/月,04-08
初级Python工程师,上海司尔亚司数据信息有限公司,上海-浦东新区,10-15万/年,04-08
Python开发工程师,“前程无忧”51job.com（上海）,上海,面议,04-08
Python开发工程师(金融科技),交银企业管理服务（上海）有限公司...,上海-徐汇区,0.7-1.5万/月,04-08
python web后台开发,繁翰信息技术（上海）有限公司,上海-长宁区,0.6-1.5万/月,04-08
python数据分析,上海功存智能科技有限公司,上海-宝山区,1.5-2.5万/月,04-08
Python开发工程师,安徽商信政通信息技术股份有限公司...,异地招聘,0.8-1.2万/月,04-08
Python开发专家,浙江森马服饰股份有限公司,上海-闵行区,3-3.5万/月,04-08
Python开发工程师,上海宽带技术及应用工程研究中心,上海-静安区,1-1.5万/月,04-08
python Web开发工程师,上海尔易信息科技有限公司,上海-浦东新区,1-1.3万/月,04-08
Python开发工程师,上海莫能臣智能科技有限公司,上海-杨浦区,0.8-1.5万/月,04-08
Python高级软件工程师,上海碳索能源环境服务有限公司,上海-闵行区,21-35万/年,04-08
P0076-python开发工程师,中盈优创资讯科技有限公司,上海-浦东新区,1-2万/月,04-08
Python 应用开发工程师,上海沪万智能科技有限公司,上海-长宁区,0.7-1.3万/月,04-08
Python开发工程师,奥动新能源汽车科技有限公司,上海-浦东新区,15-25万/年,04-08
Python高级开发工程师,上海聚水潭网络科技有限公司,上海-闵行区,1.5-3万/月,04-08
Python开发（09）,上海复深蓝软件股份有限公司,上海-浦东新区,0.8-1.1万/月,04-08
Python高级开发工程师,上海百趣生物医学科技有限公司,上海,1-2.5万/月,04-08
Python开发工程师,亚创（上海）工程技术有限公司,上海,1-2万/月,04-08
Python开发工程师,深圳市第一企业管理咨询有限公司,异地招聘,3-4万/月,04-08
软件开发工程师（GO/Lua/python）,国动网络技术有限公司,上海-静安区,1.5-2.5万/月,04-08
运维开发工程师（Python开发）,上海钢银电子商务股份有限公司,上海,2.5-4万/月,04-08
Python开发工程师,深圳市紫川软件有限公司,上海-浦东新区,1-1.5万/月,04-08
Python开发工程师,米思米（中国）精密机械贸易有限公...,上海-静安区,1-2.2万/月,04-08
Python开发工程师,上海珂绘数码影像科技有限公司,上海-闵行区,0.8-1万/月,04-08
python数据分析师,上海澳马信息技术服务有限公司,上海-浦东新区,1-1.5万/月,04-08
25923-Python高级工程师（深圳）,深圳市腾讯计算机系统有限公司,上海-黄浦区,面议,04-08
硬件工程师(python),ABB（中国）有限公司,上海,面议,04-08
Python开发工程师,波罗蜜 全球购,上海-杨浦区,1.3-1.9万/月,04-07
Python后端开发工程师,上海众言网络科技有限公司,上海-徐汇区,1.2-1.8万/月,04-07
Python开发工程师,四衡商务信息咨询（上海）有限公司...,上海-浦东新区,1-1.5万/月,04-07
Python全栈工程师,上海沪源医药有限公司,上海-闵行区,0.8-1.6万/月,04-07
python开发,上海雍米计算机科技有限公司,上海-虹口区,2-3万/月,04-08
高级Python/Django后端软件工程师,上海东方低碳科技产业股份有限公司...,上海-长宁区,1.5-2万/月,04-07
软件工程师（汽车行业优先）精通python,上海恺骊车辆技术有限责任公司,上海-浦东新区,0.8-2万/月,04-07
Python 爬虫工程师（薪智）,上海易路软件有限公司,上海-闵行区,1.5-2万/月,04-08
高级Python开发工程师,字节跳动,上海,2.5-5万/月,04-07
Python开发工程师,我查查信息技术（上海）有限公司,上海,1.5-2万/月,04-07
Python开发工程师,深圳市风云实业有限公司,成都-青羊区,0.8-1.3万/月,04-08
Python开发工程师,湖南中昱智云物联科技有限公司,长沙-岳麓区,1-1.5万/月,04-08
Python开发工程师(金融科技),交银企业管理服务（上海）有限公司...,上海-徐汇区,0.7-1.5万/月,04-08
python web后台开发,繁翰信息技术（上海）有限公司,上海-长宁区,0.6-1.5万/月,04-08
odoo(python)开发工程师,韶关市土大妈农业开发有限公司,韶关,5-8千/月,04-08
Python开发工程师,武汉云外恒信息技术有限公司,武汉-洪山区,0.8-1.2万/月,04-08
Python/Django开发工程师,江苏耀群工业技术有限公司,苏州-吴中区,0.6-1.2万/月,04-08
python数据分析,上海功存智能科技有限公司,上海-宝山区,1.5-2.5万/月,04-08
Python开发工程师,广州五壹工程师信息技术有限公司,石家庄,4.5-6千/月,04-08
Python高级开发工程师,深圳市诺维尔科技互联网有限公司,异地招聘,1-1.5万/月,04-08
Python工程师,广东中思拓大数据研究院有限公司,广州-天河区,15-20万/年,04-08
初级Python脚本开发,西安山海鲲鸿信息科技有限公司,西安-新城区,4-6.5千/月,04-08
资深Python后端开发工程师（苏州）(J10345),江苏创源电子有限公司,苏州-吴江区,1.5-2万/月,04-08
C++/JAVA/Python软件开发工程师,北京外企德科人力资源服务上海有限...,东莞,1.5-3万/月,04-08
Python开发工程师,安徽商信政通信息技术股份有限公司...,异地招聘,0.8-1.2万/月,04-08
后端开发工程师（Python方向）,中金智汇科技有限责任公司,北京-大兴区,1-2万/月,04-08
Python开发工程师,深圳易信科技股份有限公司,深圳-南山区,6-8千/月,04-08
Python开发专家,浙江森马服饰股份有限公司,上海-闵行区,3-3.5万/月,04-08
C++、Python研发工程师,深圳市博英医疗仪器科技有限公司,深圳-福田区,0.8-1.5万/月,04-08
Python开发工程师,上海宽带技术及应用工程研究中心,上海-静安区,1-1.5万/月,04-08
python工程师,深圳市惠群商业数据技术有限公司,深圳,面议,04-08
Python后端工程师,深圳市北科瑞声科技股份有限公司,深圳,面议,04-08
Python开发工程师,成都花市网电子商务有限公司,成都,6-9千/月,04-08
Python开发工程师,深圳市有为信息技术发展有限公司,深圳,面议,04-08
Python开发工程师,广州亿速云计算有限公司,广州-越秀区,1-1.5万/月,04-08
python Web开发工程师,上海尔易信息科技有限公司,上海-浦东新区,1-1.3万/月,04-08
Python开发工程师,西安北斗安全技术有限公司,西安-国家民用...,0.6-1万/月,04-08
python爬虫工程师,浙江东驰科技有限公司,杭州-滨江区,1-1.5万/月,04-08
Python工程师,深圳市安络科技有限公司,深圳,1.2-2万/月,04-08
Python爬虫工程师,杭州筑龙信息技术股份有限公司,杭州-滨江区,1-1.5万/月,04-08
Python开发工程师,郑州郑大信息技术有限公司,郑州-高新区,6-8千/月,04-08
Python开发工程师,武汉海星通技术股份有限公司,武汉-江汉区,0.7-1万/月,04-08
Python开发工程师,上海莫能臣智能科技有限公司,上海-杨浦区,0.8-1.5万/月,04-08
Python开发工程师,深圳朗安信息科技有限公司,深圳-南山区,1.5-2万/月,04-08
Python开发工程师,昆明花易宝科技有限公司,昆明-呈贡区,0.5-1万/月,04-08
软件开发工程师——python/java方向,百度沈阳地区营销服务中心,沈阳-和平区,3-5千/月,04-08
Python开发工程师（信息部）,四川希望教育产业集团有限公司,成都-郫都区,0.6-1.4万/月,04-08
Python工程师,广州华央电子科技有限公司,广州-黄埔区,6-8千/月,04-08
Python高级软件工程师,上海碳索能源环境服务有限公司,上海-闵行区,21-35万/年,04-08
Python开发工程师,成都创富世纪商务咨询有限公司,成都-锦江区,4.5-6千/月,04-08
python讲师,成都源代码教育咨询有限公司,成都,0.8-1万/月,04-08
Python开发工程师,武汉辰垚网络科技有限公司,武汉-洪山区,6-8千/月,04-08
Python开发工程师,广州登高科技有限公司,广州-黄埔区,4.5-6千/月,04-08
爬虫工程师（Java或Python）,北京三六九数动科技有限公司,北京,2.5-3万/月,04-08
Python 工程师,北京友聚四海网络科技有限公司,北京-朝阳区,1-1.5万/月,04-08
P0076-python开发工程师,中盈优创资讯科技有限公司,上海-浦东新区,1-2万/月,04-08
Python 应用开发工程师,上海沪万智能科技有限公司,上海-长宁区,0.7-1.3万/月,04-08
Python 后端项目经理,深圳市乐瀛科技有限公司,深圳,1.5-2万/月,04-08
python初级开发工程师 python开发 后端开发工程师,深圳米筐科技有限公司,深圳,0.8-1万/月,04-08
python自动化测试工程师（实习）,深圳市银河通信科技有限公司,深圳,0.8-1万/月,04-08
Python开发工程师4,深圳神木源科技有限公司,深圳-南山区,6-8千/月,04-08
Python开发工程师,深圳神木源科技有限公司,深圳-龙华新区,6-8千/月,04-08
ERP实施顾问(Python开发),北京安必奇生物科技有限公司,成都-高新区,0.8-1.5万/月,04-08
Python开发工程师,北京展云科技有限公司,北京-丰台区,1.5-2.5万/月,04-08
python爬虫开发工程师（双休+奖金）,邯郸市辰星网络科技有限公司,石家庄,4.5-8千/月,04-08
python开发工程师（双休+奖金）,成都加糖科技有限公司,成都-武侯区,4.5-8千/月,04-08
python开发工程师（双休+奖金）,成都龙捷科技有限公司,成都,4.5-8千/月,04-08
python开发工程师（双休+奖金）,明哲,成都-青羊区,4.5-8千/月,04-08
python开发工程师（双休+奖金）,成都启锋科技有限公司,深圳-南山区,4.5-8千/月,04-08
python开发工程师（双休+奖金）,成都龙捷科技有限公司,深圳-南山区,4.5-8千/月,04-08
Python开发工程师,博彦科技股份有限公司,北京,1-1.5万/月,04-08
Python高级开发工程师,苏州极光无限信息技术有限公司,苏州-工业园区,2-4万/月,04-08
Python爬虫开发工程师,深圳市中诚金服信息科技管理有限公...,深圳-福田区,1-1.5万/月,04-08
Python开发工程师,湖南金烽信息科技有限公司,广州-天河区,0.9-1.8万/月,04-08
Python开发工程师,奥动新能源汽车科技有限公司,上海-浦东新区,15-25万/年,04-08
中级软件工程师(Python),重庆维普资讯有限公司,重庆-渝北区,0.6-1.2万/月,04-08
Python开发工程师,无锡乐骐科技有限公司,无锡-滨湖区,0.6-1万/月,04-08
Python开发工程师,北京科电航宇空间技术有限公司,成都-青羊区,1-1.5万/月,04-08
Python开发工程师,成都小启科技有限责任公司,成都-高新区,0.8-1.5万/月,04-08
高学历人才储备（Python开发经理）,恒信汽车集团股份有限公司,武汉-汉阳区,0.8-1.5万/月,04-08
Python高级开发工程师,宁夏秦宇科技有限公司,银川,0.8-1.3万/月,04-08
Python开发工程师,广州宝巨信息技术有限公司,广州,0.8-1.5万/月,04-08
Python高级开发工程师,上海聚水潭网络科技有限公司,上海-闵行区,1.5-3万/月,04-08
Python开发工程师/讲师,如皋中软国际信息技术有限公司,异地招聘,1.3-1.8万/月,04-08
Python高级开发工程师,武汉小安科技有限公司,武汉-洪山区,1-1.5万/月,04-08
高级python工程师,广东博士科技有限公司,广州-黄埔区,1.3-2万/月,04-08
Python开发工程师,深圳市爱飞亿科技有限公司,深圳-龙岗区,0.8-1.2万/月,04-08
机器学习研发工程师（Python）,广州南天电脑系统有限公司,广州,1-1.8万/月,04-08
Python开发工程师,江苏康行信息技术有限公司,南京-江宁区,1-1.5万/月,04-08
Python开发（09）,上海复深蓝软件股份有限公司,上海-浦东新区,0.8-1.1万/月,04-08
Linux Python开发,杭州联众医疗科技股份有限公司,异地招聘,1-2万/月,04-08
Python开发工程师,武汉智美互联科技有限公司,武汉-东湖新技...,15-25万/年,04-08
python爬虫数据开发工程师,营软数据（厦门）医药有限公司,厦门,0.8-1.5万/月,04-08
Python软件开发工程师-WL,梦网荣信科技集团股份有限公司,深圳-南山区,1.2-2万/月,04-08
Python开发工程师,翰竺科技（北京）有限公司,天津-和平区,1.2-2万/月,04-08
python开发工程师,“前程无忧”51job.com（光谷）,武汉-江夏区,8-10万/年,04-08
Python开发工程师,蜂助手股份有限公司,广州-天河区,0.8-1.2万/月,04-08
Python工程师,北京先进数通信息技术股份公司,北京-丰台区,0.6-1万/月,04-08
测试开发工程师（Python）,傲讯全通科技（深圳）有限公司,深圳,1.2-2.4万/月,04-08
Python高级开发工程师,江苏欧帝电子科技有限公司,南京-雨花台区,0.9-1.6万/月,04-08
Python开发工程师,深圳蒲公英农业科技有限公司,深圳-南山区,1.5-3万/月,04-08
Python高级开发工程师,上海百趣生物医学科技有限公司,上海,1-2.5万/月,04-08
Python开发工程师,杭州半云科技有限公司,福州,0.7-1.2万/月,04-08
Python高级开发工程师,北京棣南新宇科技有限公司,北京-海淀区,1.5-2万/月,04-08
数据分析&挖掘师（IBM SPSS/Python)10k,福州咸鱼科技有限公司,厦门,1-1.5万/月,04-08
Python开发工程师,亚创（上海）工程技术有限公司,上海,1-2万/月,04-08
Python开发工程师,江西裕滔实业集团有限公司,南昌-青云谱区,4.5-6千/月,04-08
Python外包,信必优(深圳)信息技术有限公司,深圳-南山区,1-1.5万/月,04-08
Python开发工程师,深圳洪堡科技有限公司,深圳-龙岗区,0.9-1.2万/月,04-08
嵌入式开发工程师 Python 树莓派,深圳市易科诺科技发展有限公司,深圳-宝安区,1-1.5万/月,04-08
